,0
feat_0,0.6123743036467194
feat_2,0.07700392242433753
feat_3,0.059743708551851335
feat_1,0.05345632295259935
feat_6,0.03752391715190474
feat_4,0.022320732738320057
feat_12,0.01739521441220714
feat_17,0.013867849184013362
feat_8,0.012053037021335278
feat_9,0.011974850505142388
feat_19,0.011416996785956654
feat_18,0.011209129053897966
feat_10,0.010944685699382185
feat_16,0.010665313536784762
feat_5,0.008842469760984203
feat_7,0.007866666647015266
feat_15,0.007655090272040839
feat_11,0.0072861941023241
feat_13,0.0033497681520733486
feat_14,0.0030498274011100507
